time	soil_rechr(1)	soil_rechr(2)
units	(mm)	(mm)
42944.01042	0	0
42944.02083	0	0
42944.03125	0	0
42944.04167	0	0
42944.05208	0	0
42944.0625	0	0
42944.07292	0	0
42944.08333	0	0
42944.09375	0	0
42944.10417	0	0
42944.11458	0	0
42944.125	0	0
42944.13542	0	0
42944.14583	0	0
42944.15625	0	0
42944.16667	0	0
42944.17708	0	0
42944.1875	0	0
42944.19792	0	0
42944.20833	0	0
42944.21875	0	0
42944.22917	0	0
42944.23958	0	0
42944.25	0	0
42944.26042	0	0
42944.27083	0	0
42944.28125	0	0
42944.29167	0	0
42944.30208	0	0
42944.3125	0	0
42944.32292	0	0
42944.33333	0	0
42944.34375	0	0
42944.35417	0	0
42944.36458	0	0
42944.375	0	0
42944.38542	0	0
42944.39583	0	0
42944.40625	0	0
42944.41667	0	0
42944.42708	0	0
42944.4375	0	0
42944.44792	0	0
42944.45833	0	0
42944.46875	0	0
42944.47917	0	0
42944.48958	0	0
42944.5	0	0
42944.51042	0	0
42944.52083	0	0
42944.53125	0	0
42944.54167	0	0
42944.55208	0	0
42944.5625	0	0
42944.57292	0	0
42944.58333	0	0
42944.59375	0	0
42944.60417	0	0
42944.61458	0	0
42944.625	0	0
42944.63542	0	0
42944.64583	0	0
42944.65625	0	0
42944.66667	0	0
42944.67708	0	0
42944.6875	0	0
42944.69792	0	0
42944.70833	0	0
42944.71875	0	0
42944.72917	0	0
42944.73958	0	0
42944.75	0	0
42944.76042	0	0
42944.77083	0	0
42944.78125	0	0
42944.79167	0	0
42944.80208	0	0
42944.8125	0	0
42944.82292	0	0
42944.83333	0	0
42944.84375	0	0
42944.85417	0	0
42944.86458	0	0
42944.875	0	0
42944.88542	0	0
42944.89583	0	0
42944.90625	0	0
42944.91667	0	0
42944.92708	0	0
42944.9375	0	0
42944.94792	0	0
42944.95833	0	0
42944.96875	0	0
42944.97917	0	0
42944.98958	0	0
42945	0	0
42945.01042	0	0
42945.02083	0	0
42945.03125	0	0
42945.04167	0	0
42945.05208	0	0
42945.0625	0	0
42945.07292	0	0
42945.08333	0	0
42945.09375	0	0
42945.10417	0	0
42945.11458	0	0
42945.125	0	0
42945.13542	0	0
42945.14583	0	0
42945.15625	0	0
42945.16667	0	0
42945.17708	0	0
42945.1875	0	0
42945.19792	0	0
42945.20833	0	0
42945.21875	0	0
42945.22917	0	0
42945.23958	0	0
42945.25	0	0
42945.26042	0	0
42945.27083	0	0
42945.28125	0	0
42945.29167	0	0
42945.30208	0	0
42945.3125	0	0
42945.32292	0	0
42945.33333	0	0
42945.34375	0	0
42945.35417	0	0
42945.36458	0	0
42945.375	0	0
42945.38542	0	0
42945.39583	0	0
42945.40625	0	0
42945.41667	0	0
42945.42708	0	0
42945.4375	0	0
42945.44792	0	0
42945.45833	0	0
42945.46875	0	0
42945.47917	0	0
42945.48958	0	0
42945.5	0	0
42945.51042	0	0
42945.52083	0	0
42945.53125	0	0
42945.54167	0	0
42945.55208	0	0
42945.5625	0	0
42945.57292	0	0
42945.58333	0	0
42945.59375	0	0
42945.60417	0	0
42945.61458	0	0
42945.625	0	0
42945.63542	0	0
42945.64583	0	0
42945.65625	0	0
42945.66667	0	0
42945.67708	0	0
42945.6875	0	0
42945.69792	0	0
42945.70833	0	0
42945.71875	0	0
42945.72917	0	0
42945.73958	0	0
42945.75	0	0
42945.76042	0	0
42945.77083	0	0
42945.78125	0	0
42945.79167	0	0
42945.80208	0	0
42945.8125	0	0
42945.82292	0	0
42945.83333	0	0
42945.84375	0	0
42945.85417	0	0
42945.86458	0	0
42945.875	0	0
42945.88542	0	0
42945.89583	0	0
42945.90625	0	0
42945.91667	0	0
42945.92708	0	0
42945.9375	0	0
42945.94792	0	0
42945.95833	0	0
42945.96875	0	0
42945.97917	0	0
42945.98958	0	0
42946	0	0
42946.01042	0	0
42946.02083	0	0
42946.03125	0	0
42946.04167	0	0
42946.05208	0	0
42946.0625	0	0
42946.07292	0	0
42946.08333	0	0
42946.09375	0	0
42946.10417	0	0
42946.11458	0	0
42946.125	0	0
42946.13542	0	0
42946.14583	0	0
42946.15625	0	0
42946.16667	0	0
42946.17708	0	0
42946.1875	0	0
42946.19792	0	0
42946.20833	0	0
42946.21875	0	0
42946.22917	0	0
42946.23958	0	0
42946.25	0	0
42946.26042	0	0
42946.27083	0	0
42946.28125	0	0
42946.29167	0	0
42946.30208	0	0
42946.3125	0	0
42946.32292	0	0
42946.33333	0	0
42946.34375	0	0
42946.35417	0	0
42946.36458	0	0
42946.375	0	0
42946.38542	0	0
42946.39583	0	0
42946.40625	0	0
42946.41667	0	0
42946.42708	0	0
42946.4375	0	0
42946.44792	0	0
42946.45833	0	0
42946.46875	0	0
42946.47917	0	0
42946.48958	0	0
42946.5	0	0
42946.51042	0	0
42946.52083	0	0
42946.53125	0	0
42946.54167	0	0
42946.55208	0	0
42946.5625	0	0
42946.57292	0	0
42946.58333	0	0
42946.59375	0	0
42946.60417	0	0
42946.61458	0	0
42946.625	0	0
42946.63542	0	0
42946.64583	0	0
42946.65625	0	0
42946.66667	0	0
42946.67708	0	0
42946.6875	0	0
42946.69792	0	0
42946.70833	0	0
42946.71875	0	0
42946.72917	0	0
42946.73958	0	0
42946.75	0	0
42946.76042	0	0
42946.77083	0	0
42946.78125	0	0
42946.79167	0	0
42946.80208	0	0
42946.8125	0	0
42946.82292	0	0
42946.83333	0	0
42946.84375	0	0
42946.85417	0	0
42946.86458	0	0
42946.875	0	0
42946.88542	0	0
42946.89583	0	0
42946.90625	0	0
42946.91667	0	0
42946.92708	0	0
42946.9375	0	0
42946.94792	0	0
42946.95833	0	0
42946.96875	0	0
42946.97917	0	0
42946.98958	0	0
42947	0	0
42947.01042	0	0
42947.02083	0	0
42947.03125	0	0
42947.04167	0	0
42947.05208	0	0
42947.0625	0	0
42947.07292	0	0
42947.08333	0	0
42947.09375	0	0
42947.10417	0	0
42947.11458	0	0
42947.125	0	0
42947.13542	0	0
42947.14583	0	0
42947.15625	0	0
42947.16667	0	0
42947.17708	0	0
42947.1875	0	0
42947.19792	0	0
42947.20833	0	0
42947.21875	0	0
42947.22917	0	0
42947.23958	0	0
42947.25	0	0
42947.26042	0	0
42947.27083	0	0
42947.28125	0	0
42947.29167	0	0
42947.30208	0	0
42947.3125	0	0
42947.32292	0	0
42947.33333	0	0
42947.34375	0	0
42947.35417	0	0
42947.36458	0	0
42947.375	0	0
42947.38542	0	0
42947.39583	0	0
42947.40625	0	0
42947.41667	0	0
42947.42708	0	0
42947.4375	0	0
42947.44792	0	0
42947.45833	0	0
42947.46875	0	0
42947.47917	0	0
42947.48958	0	0
42947.5	0	0
42947.51042	0	0
42947.52083	0	0
42947.53125	0	0
42947.54167	0	0
42947.55208	0	0
42947.5625	0	0
42947.57292	0	0
42947.58333	0	0
42947.59375	0	0
42947.60417	0	0
42947.61458	0	0
42947.625	0	0
42947.63542	0	0
42947.64583	0	0
42947.65625	0	0
42947.66667	0	0
42947.67708	0	0
42947.6875	0	0
42947.69792	0	0
42947.70833	0	0
42947.71875	0	0
42947.72917	0	0
42947.73958	0	0
42947.75	0	0
42947.76042	0	0
42947.77083	0	0
42947.78125	0	0
42947.79167	0	0
42947.80208	0	0
42947.8125	0	0
42947.82292	0	0
42947.83333	0	0
42947.84375	0	0
42947.85417	0	0
42947.86458	0	0
42947.875	0	0
42947.88542	0	0
42947.89583	0	0
42947.90625	0	0
42947.91667	0	0
42947.92708	0	0
42947.9375	0	0
42947.94792	0	0
42947.95833	0	0
42947.96875	0	0
